id,counters.followers,counters.pages,counters.photos,counters.videos,sex,counters.clips_followers,city.id,occupation.id
450344497,132.5,24,35.8,0,2,351.7,68,1652085.0
264457326,46.0,198,13.0,35,2,219.0,68,297.0
168229171,338.0,298,108.0,52,1,584.0,99,668.0
146449549,12.0,28,2.0,82,1,249.0,2,668.0
78066261,132.5,87,35.8,0,1,351.7,99,149306721.0
737944772,132.5,70,35.8,0,2,351.7,2,38079020.6
267085294,1001.0,114,8.0,0,1,1451.0,2,53.0
261186365,24.0,75,1.0,0,1,119.0,2,38079020.6
148164935,194.0,154,4.0,0,1,394.0,2,17.0
393529412,47.0,92,8.0,7,1,182.0,2,53.0
437212633,86.0,28,9.0,107,2,215.0,2,68.0
39757528,344.0,13,16.0,0,1,918.0,2,881.0
390906559,110.0,129,1.0,0,1,166.0,2,43443699.0
291181534,74.0,64,3.0,12,2,220.0,2,38079020.6
492556735,96.0,949,49.0,201,1,490.0,2,189502030.0
367053200,115.0,145,46.0,23,1,441.0,8542,396556.0
148145779,60.0,90,195.0,0,1,178.0,2,38079020.6
245526687,233.0,118,86.0,0,1,563.0,73,1170190.0
170729859,247.0,197,190.0,230,1,343.0,2,749.0
277676294,0.0,160,13.0,0,1,33.0,2,38079020.6
187561455,78.0,660,305.0,443,1,512.0,55,498.0
166185266,474.0,598,150.0,180,1,1136.0,55,221640863.0
610361601,0.0,5,0.0,1,2,42.0,2,38079020.6
720943907,1.0,8,20.0,0,2,31.0,2,38079020.6
163342945,104.0,165,3.0,3,1,413.0,112,221169581.0
463418320,210.0,82,9.0,512,1,378.0,378,454.0
595835622,34.0,44,4.0,4,1,162.0,2,477.0
611584004,0.0,96,46.0,57,1,62.0,68,653.0
299038863,3.0,70,15.0,59,2,163.0,95,20039.0
463073943,46.0,123,7.0,823,2,285.0,95,38079020.6
296687853,105.0,311,13.0,5,2,336.0,95,649.0
350296643,129.0,63,2.0,1,1,204.0,2,38079020.6
373006917,292.0,609,38.0,10,1,1480.0,95,180309468.0
503430788,7.0,218,5.0,1,2,146.0,431,99146.0
312726100,39.0,56,0.0,2,1,212.0,95,653.0
545960785,6.0,7,1.0,0,1,77.0,2,653.0
145926130,132.5,72,35.8,0,1,351.7,2,38079020.6
222437054,259.0,55,1.0,189,2,400.0,99,663.0
127788765,78.0,22,2.0,0,2,248.0,99,677.0
216776402,98.0,100,4.0,0,1,218.0,2,171730380.0
293813364,61.0,9,8.0,0,2,160.0,2,49.0
267526589,29.0,60,8.0,0,2,139.0,2,38079020.6
156470181,89.0,22,5.0,23,2,148.0,2,38079020.6
